種別,施設名,住所,電話番号,URL（ホームページ）,診療科目,診療日・時間,休診日,アクセス,備考
病院,深町病院,千葉県柏市柏4-10-11,04-7164-0111（代表）,http://fukamati-hp.com/,内科，消化器内科，糖尿病内科，神経内科，呼吸器内科，循環器内科，内分泌科,"月〜金曜日　9：00〜12：00（受付開始時間は8：30〜）／14：00〜17：00（受付開始時間は13：30〜）
土曜日　9：00〜12：00（受付開始時間は8：30〜）
※急患は随時対応可能な限り受付します。",土曜日午後，日曜日，祝日,"○電車
ＪＲ常磐線・東武アーバンパークライン(野田線)「柏駅」より徒歩5分",
病院,聖光ヶ丘病院,千葉県柏市光ヶ丘団地2-3,04-7171-2023(代表),http://seihikarihosp.sakura.ne.jp/,内科，消化器内科，循環器内科，泌尿器科，眼科，皮膚科，整形外科，精神科，心療内科，脳神経外科，呼吸器内科,"月〜金曜日　9：00〜12：00（受付開始時間は7：30〜）／14：00〜17：00（受付開始時間は13：30〜）
土曜日　9：00〜12：00（受付開始時間は7：30〜）",土曜日午後，日曜日，祝日,"○電車，バス
ＪＲ常磐線各駅停車（千代田線）「南柏駅」下車　南柏駅東口よりバスにて約7分　「聖光ヶ丘病院」バス停下車徒歩3分
 東武バス　南柏01・南柏04「酒井根行」
　　　　　　　南柏05「南部クリーンセンター行」
　　　　　　　南柏07「増尾駅行」
○当院専用送迎バス・駐車場（77台）もございます。",
病院,名戸ヶ谷病院,千葉県柏市新柏2-1-1,04-7167-8336(代表),http://www.nadogaya.com/index.html,内科，消化器科，循環器科，小児科，外科，整形外科，形成外科，脳神経外科，小児外科，眼科，耳鼻咽喉科，リハビリテーション科，放射線科，皮膚科，泌尿器科，麻酔科，肛門科,"月〜金曜日　9：00〜12：00（受付時間は7：00〜11：30）／14：00〜17：00（受付時間は11：30〜16：30）
土曜日　9：00〜13：00（受付時間は7：00〜12：30）
※救急患者は，24時間受付します。",土曜日午後，日曜日，祝日,"○電車，バス　
・東武アーバンパークライン「新柏駅」東口より500ｍ
・ＪＲ常磐線「柏駅」東口より東武バス（5番乗り場）「新柏住宅」下車　　
※無料送迎バスがあります。詳しくはホームページをご確認ください。",入院・通院治療に伴う心配事や不安について医療ソーシャルワーカーがご相談に応じます。
病院,千葉・柏リハビリテーション病院,千葉県柏市大井2651番地,04-7160-8300,http://www.aoikai.jp/kashiwareha/,内科，リハビリテーション科，精神科，心療内科，人工透析内科,9:00〜17:00,日曜日，祝日，年末年始,"・柏駅より　東口企業バス乗場発　専用送迎バスにて約15分
・我孫子駅より　南口発　専用送迎バスにて約10分
・天王台駅より　南口発　専用送迎バスにて約10分",
往診可能診療所,金森医院,千葉県柏市高田1075-47,04-7145-8481,,内科,"外来診療
月曜日 8：30〜12：00／16：00〜18：00
木・金・日曜日 8：30〜12：00",火・水・土曜日，木・金・日曜日午後,ＪＲ「柏駅」西口より東武バス(市内循環)「ミックスガーデン前」下車徒歩3分,
往診可能診療所,ファミリークリニック成島,千葉県柏市宿連寺関場23-1,04-7133-1561,,内科,"外来診療
9：00〜12：00／14：00〜19：00（土曜日は17：00まで）",日曜日，祝日,ＪＲ「柏駅」西口またはＪＲ「北柏駅」入口より東武バス「市立柏病院入口」下車徒歩2分,
往診可能診療所,亀甲台内科,千葉県柏市亀甲台町2-3-1,04-7163-5635,http://www7b.biglobe.ne.jp/~kikkoudai/,内科，小児科,"外来診療
月・火・木・金曜日 8：30〜12：00／15：00〜17：30
水・土曜日 8：30〜12：00",水・土曜日午後，日曜日，祝日,ＪＲ「柏駅」東口より東武バス「亀甲台入口」下車徒歩1分または「亀甲台中央」下車徒歩2分,
往診可能診療所,玉田クリニック,千葉県柏市柏3-9-21山崎ビル402号,04-7165-8760,,内科，神経内科，リハビリテーション科,"外来診療
月曜日 9：00〜12：00／14：30〜17：00／18：30〜20：00
水曜日 9：00〜12：00／14：30〜17：00
木曜日 9：00〜12：00
金曜日 9：00〜12：00／18：30〜20：00
土曜日 9：00〜13：30
日曜日 10：00〜12：00（不定期）",火曜日，祝日,ＪＲ「柏駅」東口より徒歩10分,
往診可能診療所,かしわ沼南みらいクリニック,千葉県柏市大津ヶ丘1-45-5,04-7191-3133,https://mirai-clinic.net/,内科，小児科，アレルギー科，外科,"外来診療
9:00〜12:00／15:00〜18:00（水・土曜日は午前のみ）　　　　　　　　　　　　　　　　　　　　　　　　　　　",日曜日，祝日,大津ヶ丘中学校，大津ヶ丘幼稚園そば,
薬局,柏の葉薬局,千葉県柏市若柴173-8柏の葉キャンパス151街区　B棟SB3-1,04-7199-7025,http://www.e-classa.net/kashiwanoha/,,"月・水・金曜日 9：00〜19：00
火・木曜日 9：00〜18：00
土・日曜日・祝日 9：00〜13：00",なし,つくばエクスプレス「柏の葉キャンパス駅」より徒歩1分,
薬局,クオール薬局柏の葉店,千葉県柏市若柴178-4　柏の葉キャンパス148街区1B,04-7128-7589,https://www.qol-net.co.jp/pharmacy/map/detail.php?id=849,,9:00〜21:00,なし,つくばエクスプレス「柏の葉キャンパス駅」下車　徒歩3分,
薬局,調剤薬局マツモトキヨシ柏たなか店,千葉県柏市小青田1丁目2-3,04-7137-2003,http://www.mk-pharmacies.co.jp/,,"月〜金曜日 9:00〜18:00
土曜日 9:00〜14:00",日曜日，祝日,つくばエクスプレス「柏たなか駅」下車　徒歩1分,
薬局,日本調剤柏の葉公園薬局,千葉県柏市柏の葉5-4-18,04-7137-2115,https://www.nicho.co.jp/tenpo/kasiwanohakoen/,,月〜金曜日 9：00〜18：00,土曜日，日曜日，祝日,"○ＪＲ「柏駅」西口より東武バス「国立がん研究センター」行き30分，終点「国立がん研究センター」下車　
○つくばエクスプレス「柏の葉キャンパス駅」西口よりバス東武バス(国立がん研究センター経由)「江戸川台駅東口」行き，または「柏の葉公園循環」で6分「国立がん研究センター」下車
○東武アーバンパークライン(野田線)「江戸川台駅」東口から東武バス(国立がん研究センター経由)「柏の葉キャンパス駅西口」行き10分，「国立がん研究センター」下車",無菌調剤可
薬局,日本調剤柏の葉薬局,千葉県柏市若柴227-6柏の葉キャンパス147街区Ｅ-1,04-7137-0451,https://www.nicho.co.jp/tenpo/kasiwanoha/,,月〜土曜日 9：00〜18：00,日曜日，祝日，年末年始,○つくばエクスプレス「柏の葉キャンパス駅」より徒歩7分,
薬局,柏龍堂つばさ調剤薬局,千葉県柏市花野井1811,04-7134-8508,http://www.hakuryudo.net/,,"月・火・水・金曜日 9：00〜12：00／15：00〜18：00
土曜日 9：00〜12：00
第2・4日曜日 9：00〜11：30",木曜日，第1・3・5日曜日，祝日,JR「柏駅」もしくは「北柏駅」より東武バス「東急柏ビレジ」行きで「柏ビレジ第二」下車徒歩1分　,
薬局,ゆずのき薬局,千葉県柏市西原7-7-21,04-7189-7567,,,"月〜土曜日 9：00〜17：30
日曜日 9：00〜12：00",祝日,東武アーバンパークライン(野田線)「初石駅」より徒歩15分,
薬局,サンドラック柏松葉町薬局,千葉県柏市松葉町2-15-1,04-7132-1470,http://www.e-map.ne.jp/p/sundrug/dtl/0875/,,"月〜土曜日 9：00〜19：00
日曜日・祝日 10：00〜19：00",なし(年末年始などを除く）,JR「北柏駅」よりバス（ライフタウン循環または松葉町七丁目止）「松葉町二丁目」下車徒歩2分,
薬局,たかはし薬局,千葉県柏市高田139-2,04-7142-2151,http://www.e-classa.net/takahashi-ph/,,"月・水・金曜日 9：00〜18：00
火・木曜日 9：00〜16：00
土曜日 9：00〜12：00",日曜日，祝日,"○東武アーバンパークライン(野田線)「豊四季駅」より徒歩15分
○JR・東武線「柏駅」西口よりバス10分「梅林」下車徒歩1分　
○つくばエクスプレス「柏の葉キャンパス駅」西口より東武バス10分「梅林」下車徒歩1分",
薬局,ファンイズムハート薬局,千葉県柏市北柏3-1-2　寺田ビル1F,04-7162-2601,http://www.moga-i.com/,,"月〜金曜日 9：00〜20：00
土曜日 9：00〜19：00",日曜日，祝日,JR「北柏駅」より徒歩1分,
薬局,みやこ薬局,千葉県柏市布施814-66,04-7134-5657,,,月〜土曜日 9：00〜18：30,日曜日，祝日，年末年始，夏季休業日,JR「北柏駅」よりバス，「宿連寺」下車，徒歩3分,
薬局,薬局メディクス北柏店,千葉県柏市北柏4-1-1,04-7165-1732,,,月〜土曜日 9：00〜18：00,日曜日，祝日,JR「北柏駅」より徒歩5分,駐車スペース8台
薬局,アイン薬局柏駅前店,千葉県柏市末広町9-14　小竹ビル1Ｆ,04-7142-3171,,,"月〜水・金曜日 9：00〜19：00
木曜日 9：00〜17：00
土曜日 9：00〜18：00",日曜日，祝日,JR「柏駅」より徒歩3分,
薬局,イントロン薬局,千葉県柏市新富町1-2-34,04-7196-6725,https://intron.co.jp/shop/,,"月〜土曜日　9：00〜18：00
日曜日　9：00〜12：30",祝日,"南柏駅から徒歩15分程度
柏中央眼科隣",薬局を中心に5㎞圏内ですが在宅承ります。
薬局,かしわ鈴薬局,千葉県柏市明原3-3-12,04-7190-5581,http://www.scgroup.jp/,,"平日 9：00〜18：15
土曜日 9：00〜13：15　",日曜日，祝日,JR「柏駅」より徒歩9分,駐車場あり
薬局,柏薬局明原店,千葉県柏市明原3-2-6,04-7141-0425,,,"月・火・水・金曜日 9：00〜18：00
木曜日 9：00〜17：00
土曜日 9：00〜13：00",日曜日，祝日,JR「柏駅」より徒歩8分,
薬局,末広薬局,千葉県柏市末広町9-14,04-7148-7200,,,"月・火・水・金・土曜日 8：30〜18：00
木曜日 8：30〜13：00",日曜日，祝日,JR「柏駅」より徒歩3分　,
薬局,杉浦薬局,千葉県柏市南柏1-6-5,04-7145-0135,http://www.toyoshiki.com/sugiura.html,,"月〜水・金曜日 9：00〜20：00
木曜日 9：00〜19：00
土曜日 9：00〜19：00",日曜日，祝日,JR「南柏駅」より徒歩2分,
薬局,スギ薬局柏豊四季店,千葉県柏市豊四季227番地1,04-7141-7810,https://www.sugi-net.jp/,,月〜日曜日 9：00〜23：00,なし,東武アーバンパークライン(野田線)「豊四季駅」より徒歩15分,
薬局,豊四季ファーマシー,千葉県柏市豊四季台1-3-1,04-7144-1095,http://toyoshiki.com/,,"月・火・水・金曜日 9：00〜18：30
木曜日 9：00〜17：00
土曜日 9：00〜14：00",日曜日，祝日,"JR「柏駅」西口より徒歩15分
東武バス「柏駅西口」1番乗場より豊四季台団地循環で「団地センター前」または「向原住宅」下車3分　2・3番乗場より国立がん研究センター行他「向原住宅」下車3分",無菌調剤室あり（共同利用可能）
薬局,日本調剤旭町薬局,千葉県柏市旭町1-4-11,04-7144-9752,https://www.nicho.co.jp/tenpo/asahicho/,,"月・水・木・金曜日 9：00〜19：00
土曜日 9：00〜14：00",火曜日，日曜日，祝日,JR「柏駅」より徒歩5分,
薬局,ひまわり薬局豊四季駅前店,千葉県柏市豊四季1008-8　,04-7142-3110,http://www.ken-ei.co.jp/,,"月・火・木・金曜日 9：00〜18：30
土曜日 9：00〜14：00",水曜日，日曜日，祝日,東武アーバンパークライン(野田線)「豊四季駅」南口徒歩1分,
薬局,薬局おおたかの森,千葉県柏市豊四季114-12,04-7107-0001,http://www.toyoshiki.com/ootaka.html,,"月〜金曜日 9：00〜18：00 
土曜日 9：00〜14：00",日曜日，祝日,東武アーバンパークライン(野田線)・つくばエクスプレス「流山おおおたかの森」駅徒歩10分　駐車場あり,
薬局,薬局マツモトキヨシ柏駅西口店,千葉県柏市末広町3-4,04-7140-1822,,,"月〜金曜日　9:00〜20:00
土曜日 9:00〜18:00
日曜日 10:00〜18:00",祝日,,
薬局,あおば薬局柏中央店,千葉県柏市泉町1-32,04-7165-7747,,,"月・火・木・金曜日 9：00〜19：30　
水曜日 9：00〜18：30　
土曜日 9：00〜13：00",日曜日，祝日,JR「柏駅」より徒歩15分　NTTとなり,
薬局,あさひ薬局,千葉県柏市柏下276-5,04-7160-1011,http://ggwh.jp/index.html,,月〜土曜日 8：30〜17：30,日曜日，祝日,JR「北柏駅」南口より徒歩10分，もしくは阪東バス「慈恵医大柏病院」下車徒歩1分,在宅の相談も承っております。あなたのかかりつけ薬局に。調剤薬局限定商品をご用意しております。
薬局,飛鳥薬局 柏駅前店,千葉県柏市柏4丁目4-17,04-7166-7311,,,"月・火・木・金曜日 9:00〜18:00
水曜日 9:00〜17:00
土曜日 9:00〜14:00 ",日曜日，祝日,JR「柏駅」から徒歩4分,
薬局,オレンジ薬局,千葉県柏市柏下278-1,04-7165-1650,http://ggwh.jp/index.html,,月〜土曜日 9：00〜17：30,日曜日，祝日,JR「北柏駅」南口より徒歩10分　,ケアマネジャーの資格をもつ薬剤師がお薬をお届けします。
薬局,カワシマ薬局,千葉県柏市中央町5-15,04-7167-3632,http://www.kawashima-y.jp/,,"月・金曜日 9：00〜19：00
火・水・木・土曜日 9：00〜19：00",日曜日，祝日,JR「柏駅」より徒歩8分,
薬局,けんこう薬局,千葉県柏市柏下153-2,04-7168-8911,,,月〜土曜日 9：00〜18：00,日曜日，祝日，5/1，10/15，12/29〜1/3,JR「北柏駅」南口より阪東バス「慈恵医大柏病院」下車徒歩1分,
薬局,さくら薬局柏下店,千葉県柏市柏下字東155,04-7160-2530,,,"月〜金曜日 9：00〜18：00
土曜日 9：00〜17：30",日曜日，祝日，年末年始（12/31〜1/4），5/1，10/15,,
薬局,サンリツ薬局柏店,千葉県柏市柏3-8-11-101,04-7160-3712,,,"月・水・木・金曜日 8：30〜18：00 
土曜日 8：30〜12：30",火曜日，日曜日，祝日,JR「柏駅」東口より徒歩10分,
薬局,つなぐ薬局,千葉県柏市東1-2-45　サンライズイシド302号室,"04-7136-1680
04-7136-1683（FAX)",https://www.wise-jmco.com/,,"月〜金曜日 9：00〜18：00
土曜日 11：00〜13：00",日曜日，祝日,JR「柏駅」東口より徒歩13分,中心静脈栄養，医療用麻薬，無菌調剤，持続皮下対応　特定疾患等各種保険取り扱いあり
薬局,ハーブランド薬局,千葉県柏市柏1-1-7,04-7163-2532,https://herbland.co.jp/,,"月・火・水・金曜日 9：00〜20：00
土曜日 9：00〜18：00
木・日曜日 9：00〜17：00",祝日,JR「柏駅」南口より徒歩2分,
薬局,ハーブランド薬局柏３丁目店,千葉県柏市柏3-7-26,04-7166-1515,https://herbland.co.jp/,,"月曜日 9：00〜19：00
火・金曜日 9：00〜20：00
水・木・土曜日 9：00〜18：00",日曜日，祝日,JR「柏駅」東口より徒歩5分,
薬局,ハーブランド薬局中央店,千葉県柏市中央2-2-8,04-7165-0123,https://herbland.co.jp/,,月〜土曜日 9：00〜18：00,日曜日，祝日,JR「柏駅」南口徒歩7分,
薬局,ファーコス薬局イルカ,千葉県柏市柏4-6-25 YKビル1F,04-7160-4477,https://www.pfercos.co.jp/,,月〜土曜日 9：00〜18：00,日曜日，祝日,JR「柏駅」東口より徒歩5分,
薬局,ファーコス薬局柏わかば,千葉県柏市若葉町11-12　やまとマンション1F,04-7166-8915,https://www.pfercos.co.jp/,,月・火・水・金・土曜日　9:00〜18:00,木曜日，日曜日，祝日,"JR常磐線「柏駅」東口より
東武バス：（柏20）又は（柏28）名戸ヶ谷行（千代田経由，常盤台経由どちらでも可）　10分　「緑ヶ丘」下車　徒歩1分",
薬局,薬局タカサ　オアシス柏店,千葉県柏市千代田3-8-7ヴィヌス柏1Ｆ,04-7167-6351,https://www.takasa.co.jp/,,月〜金曜日 9：00〜13：30,土曜日，日曜日，祝日,JR「柏駅」東口より徒歩20分,
薬局,薬局マツモトキヨシ柏東口駅前店,千葉県柏市柏2-2-2浅野ビル1F,04-7167-7055,,,"平日　9：30〜20：00
土・日曜日，祝日　10：00〜19：00",12/31〜1/3,JR「柏駅」東口より徒歩1分,
薬局,薬局メディクス柏店,千葉県柏市柏3-3-19,04-7160-2323,https://www.jmsys.co.jp/,,"月・火・金・土曜日 8：30〜13：30／15：00〜18：00
水曜日 8：30〜13：30／15：00〜19：30",木曜日，日曜日，祝日,JR「柏駅」より徒歩10分,
薬局,ヤックスドラッグ北柏薬局,千葉県柏市柏下158,04-7197-5570,,,月〜土曜日 9：00〜18：00,日曜日，祝日,JR「北柏駅」より徒歩15分,
薬局,やまなみ薬局柏店,千葉県柏市柏下154,04-7168-8180,http://www.ipciron.com/,,月〜土曜日 9：00〜18：00,日曜日，祝日,JR「北柏駅」南口より徒歩10分もしくは阪東バス「慈恵医大柏病院」下車　JR「柏駅」東口より徒歩20分もしくは阪東バス「慈恵医大柏病院」下車,
薬局,よろづ屋薬局柏店,千葉県柏市東1-2-4　ワコーマンション1-A号,04-7167-2075,,,"月・火・木・金曜日 9：00〜12：00／14：30〜18：00
土曜日 9：00〜12：00",水曜日，日曜日，祝日,JR「柏駅」より徒歩10分,
薬局,スズラン薬局,千葉県柏市今谷上町45-23,04-7160-0010,,,"月〜土曜日 9：00〜13：00／15：00〜19：00
日曜日 9：00〜13：00",祝日,JR「南柏駅」東口より徒歩4分,
薬局,つくし薬局,千葉県柏市つくしが丘2-4-14,04-7172-5316,,,"月〜金曜日 8：30〜19：30
土曜日 8：30〜19：00",日曜日，祝日,東武アーバンパークライン(野田線)「新柏駅」より徒歩8分,在宅訪問等により，営業時間が変更になることがあります。
薬局,つくし薬局　光ヶ丘店,千葉県柏市光ヶ丘2-18-18,04-7170-5112,http://www.e-classa.net/tsukushi-hikari/,,"月〜金曜日 9：00〜18：00
土曜日 9：00〜15：00",日曜日，祝日,JR「南柏駅」東口1番乗場より東武バス「聖光ヶ丘病院」下車徒歩3分,
