都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,病院名,住所,電話番号,URL（ホームページ）,診療科目,診療日・時間,休診日,アクセス,備考
122173,0000000014,千葉県,柏市,南柏駅前クリニック,柏市南柏1-8-16,04-7141-7171,,内科，人工透析,"○外来
9：00〜17：00(午前受付9：00〜11：30／午後受付14：00〜16：30)　
○訪問診療
24時間365日対応致します(訪問診療契約が必要となります。)",日曜日（外来は祝日も上記時間で診療します。),"JR常磐線「南柏駅」西口下車徒歩2分
西口広場大通りを直進し150ｍ程進んだ右側にあるウエルシア薬局の2階です。",これまで施設入居者様向けに訪問診療を行って参りましたが，地域内にお住まいの方への訪問診療も実施しております。訪問可能エリアなど詳しくご案内致しますので，お気軽にお問い合わせ下さい。
122173,0000000015,千葉県,柏市,悠翔会在宅クリニック柏,柏市明原4-10-12,04-7141-0610,http://www.yushoukai.jp/,内科，精神科，皮膚科，緩和ケア科,"○外来診療　
月〜金曜日 9：30〜12：00／14：00〜17：00
○往診・訪問診療
外来診療時間内で不定期　緊急対応24時間可能",土曜日，日曜日,JR「柏駅」より徒歩10分,
122173,0000000016,千葉県,柏市,こんどうクリニック,柏市柏3-2-3マツモトキヨシビル4階,04-7168-8810,http://www.kondo-k-cl.com/,内科，整形外科，外科，リハビリテーション科,"○外来診療　
月・火・水・金曜日 9：30〜12：30／15：00〜19：00　
木曜日 9：30〜12：30　
土曜日 9：30〜12：30／14：00〜16：30
○往診・訪問診療　
月・火・水・金曜日 13：00〜14：00",日曜日，祝日,ＪＲ常磐線・東武アーバンパークライン（野田線）「柏駅」東口より徒歩3分,
122173,0000000017,千葉県,柏市,東山医院,柏市柏3-3-3,04-7167-3803,http://www.e-higashiyama.com/pc/,内科，胃腸科，外科，皮膚科,"○外来診療　
月・火・金・土曜日 8：30〜12：00／15：00〜18：00
水曜日 8：30〜12：00／15：00〜19：00
○往診・訪問診療　
月・火・水・金・土曜日 14：00〜15：00",木曜日，日曜日，祝日,ＪＲ「柏駅」より徒歩7分,
122173,0000000018,千葉県,柏市,ホームクリニック柏,柏市桜台1-8,04-7160-2588,https://homeclinic-kashiwa.doctorsfile.jp/,内科，小児科,"○外来診療　
月〜金曜日　午前，　午後は要相談
○往診・訪問診療
月〜金曜日　午後，午前は要相談",土曜日，日曜日，祝日，クリニックまで要確認,ＪＲ「柏駅」東口より徒歩15分,
122173,0000000019,千葉県,柏市,まえだクリニック,柏市柏1-1-7池松ビル5階,04-7199-7377,,内科，泌尿器科，内分泌内科，乳腺外科，循環器科,"○外来診療　
月〜金曜日 9：00〜12：00／ 14：00〜17：00
土曜日　9：00〜12：30
○往診・訪問診療
月〜土曜日　9：00〜15：00",日曜日，祝日,ＪＲ「柏駅」南口より徒歩2分,
122173,0000000020,千葉県,柏市,つくしが丘医院,柏市つくしが丘1-6-1,04-7172-2024,,内科，外科，胃腸科,"○外来診療　
月曜日〜金曜日 9：00〜12：00／15：00〜18：00　　
土曜日 9：00〜12：00
○往診・訪問診療　
月〜金曜日 13：30〜15：00",土曜日午後，日曜日，祝日,新柏駅より徒歩8分,
122173,0000000021,千葉県,柏市,平野医院,柏市豊住1-1-45,"04-7175-2221
04-7175-2222",http://www.seihukai.jp/,内科，小児科，皮膚科,"○外来診療　
月・火・水・金曜日 9：00〜12：15／14：30〜18：00　
土曜日 9：00〜12：15／14：00〜16：00
○往診・訪問診療　
月・火・水・金曜日  午後　",木曜日，日曜日，祝日,ＪＲ「南柏駅」より徒歩10分,在宅医療をご希望の方は事前に電話でお問い合わせください。
122173,0000000022,千葉県,柏市,誠和クリニック,柏市南増尾4-3-28,04-7171-2350,http://www.seiwa-clinic.jp/,内科，脳外科，神経科，リハビリテーション科,"○外来診療　
月〜土曜日 9：00〜12：00　
月〜金曜日 18：00〜21：00
○往診・訪問診療　
12：00〜17：00",土曜日午後，日曜日，祝日,JR「南柏駅」東口からバス10分,機能強化型
122173,0000000023,千葉県,柏市,南増尾クリニック,柏市南増尾1-14-14,04-7138-6821,https://www.minamimasuoclinic.com/,内科，循環器内科，外科，整形外科，神経内科,月〜金曜日 9：00〜18：00,土曜日，日曜日，祝日,"○東武アーバンパークライン(野田線)「逆井駅」より徒歩15分
○ＪＲ「南柏駅」東口より「南部クリーンセンター」行きバス10分",
122173,0000000024,千葉県,柏市,よしおかファミリークリニック,柏市南増尾2280,04-7174-2345,http://yoshioka-family.jp/,内科，小児科,"○外来診療
月，火，水，金曜日 9：00〜12：00／14：30〜17：30　
土曜日 9：00〜12：00　
○往診・訪問診療　
不定期",木曜日，日曜日，祝日,東武アーバンパークライン(野田線)「逆井駅」より徒歩15分，リフレッシュプラザ隣,※往診・訪問診療は，外来診察終了後になります。（19:00〜）
122173,0000000025,千葉県,柏市,上笹医院,柏市大島田1丁目5-1,04-7191-2421,,外科，胃腸科，脳神経外科，内科,"○外来診療　
月・火・水・金・土曜日　8：30〜12：00／15：00〜17：00　
○往診・訪問診療　
金曜日の午前・午後
第1第3木曜日の午前・午後",木曜日，日曜日，祝日　（木曜日は外来のみ休診）,ＪＲ「柏駅」東口より東武バス沼南車庫行き「セブンパークアリオ柏前」下車1分（セブンパークアリオ柏隣接）,緊急時には随時往診しております。
122173,0000000026,千葉県,柏市,手賀の杜クリニック,柏市岩井789-6,04-7196-7102,https://www.tegamori-cl.com/,内科，外科，小児科,"○外来診療　
月・火・水・金・土曜日 9：00〜12：00／15：00〜18：00　
木曜日 9：00〜13：00　",木曜日午後，日曜日，祝日,"○ＪＲ常磐線「柏駅」東口東武バスイースト4番乗り場　柏22『小野塚台』行きバス25分，下車後は進行方向に進みバス折り返し所向かい側
○ＪＲ常磐線「我孫子駅」南口　『手賀の杜ニュータウン』行きバス10分，下車後は進行方向に進みバス折り返し所向かい側　",
122173,0000000027,千葉県,柏市,東洋眼科・胃腸内科・外科,柏市大津ヶ丘4-25-2,04-7193-3042,https://www.yugenkai.jp/,内科，胃腸科，外科，眼科,"○外来診療　
＜眼科＞
月曜日 9：00〜12：00　
火・木・金曜日 9：00〜12：00／15：00〜18：00　
土曜日 9：00〜12：00／15：00〜17：00　
日曜日 9：00〜12：00(月に1回のみ）
＜内科・胃腸科＞
月・火・木曜日 9：00〜12：00／15：00〜18：00　
金曜日 9：00〜12：00（予約内視鏡検査）／午後往診　
土曜日 9：00〜12：00／15：00〜17：00　
日曜日 9：00〜12：00(月に1回のみ）
○往診・訪問診療　
水・金曜日午後",水曜日，日曜日不定休，祝日,ＪＲ「柏駅」東口6番乗場より阪東バス「大津ヶ丘4丁目」下車徒歩3分,12:00〜14:30は電話が繋がりません。
122173,0000000028,千葉県,柏市,中島クリニック,柏市高柳1142-1,04-7193-3077,,内科,"○外来診療　
月〜水・金曜日 9：30〜12：30／15：00〜18：00　
土曜日 9：30〜12：30
○往診・訪問診療
不定期",木曜日，土曜日午後，日曜日，祝日,東武アーバンパークライン(野田線)「高柳駅」より徒歩5分,
122173,0000000029,千葉県,柏市,ホームクリニック東葛,柏市高柳1丁目1-1　シャーメゾン高柳103,04-7128-7002,https://www.facebook.com/homeclinictokatsu,内科，整形外科，皮膚科，脳神経外科，神経内科，緩和ケア内科，泌尿器科，老年精神科,"○外来診療
土曜日 9:00〜12:00／15:00〜18:00
○往診・訪問診療
月・火・水・金・土曜日 9:00〜18:00",木曜日，日曜日,東武アーバンパークライン(野田線)「高柳駅」徒歩1分,機能強化型在宅療養支援診療所
