都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,薬局名,住所,電話番号,ＵＲＬ（ホームページ）,営業時間,定休日,アクセス,備考
122173,0000000029,千葉県,柏市,カワシマ薬局,柏市中央町5-15,04-7167-3632,http://www.kawashima-y.jp/,"月・金曜日 9：00〜19：00
火・水・木・土曜日 9：00〜19：00",日曜日，祝日,JR「柏駅」より徒歩8分,
122173,0000000030,千葉県,柏市,けんこう薬局,柏市柏下153-2,04-7168-8911,,月〜土曜日 9：00〜18：00,日曜日，祝日，5/1，10/15，12/29〜1/3,JR「北柏駅」南口より阪東バス「慈恵医大柏病院」下車徒歩1分,
122173,0000000031,千葉県,柏市,さくら薬局柏下店,柏市柏下字東155,04-7160-2530,,"月〜金曜日 9：00〜18：00
土曜日 9：00〜17：30",日曜日，祝日，年末年始（12/31〜1/4），5/1，10/15,,
122173,0000000032,千葉県,柏市,サンリツ薬局柏店,柏市柏3-8-11-101,04-7160-3712,,"月・水・木・金曜日 8：30〜18：00 
土曜日 8：30〜12：30",火曜日，日曜日，祝日,JR「柏駅」東口より徒歩10分,
122173,0000000033,千葉県,柏市,つなぐ薬局,柏市東1-2-45　サンライズイシド302号室,"04-7136-1680
04-7136-1683（FAX)",https://www.wise-jmco.com/,"月〜金曜日 9：00〜18：00
土曜日 11：00〜13：00",日曜日，祝日,JR「柏駅」東口より徒歩13分,中心静脈栄養，医療用麻薬，無菌調剤，持続皮下対応　特定疾患等各種保険取り扱いあり
122173,0000000034,千葉県,柏市,ハーブランド薬局,柏市柏1-1-7,04-7163-2532,https://herbland.co.jp/,"月・火・水・金曜日 9：00〜20：00
土曜日 9：00〜18：00
木・日曜日 9：00〜17：00",祝日,JR「柏駅」南口より徒歩2分,
122173,0000000035,千葉県,柏市,ハーブランド薬局柏３丁目店,柏市柏3-7-26,04-7166-1515,https://herbland.co.jp/,"月曜日 9：00〜19：00
火・金曜日 9：00〜20：00
水・木・土曜日 9：00〜18：00",日曜日，祝日,JR「柏駅」東口より徒歩5分,
122173,0000000036,千葉県,柏市,ハーブランド薬局中央店,柏市中央2-2-8,04-7165-0123,https://herbland.co.jp/,月〜土曜日 9：00〜18：00,日曜日，祝日,JR「柏駅」南口徒歩7分,
122173,0000000037,千葉県,柏市,ファーコス薬局イルカ,柏市柏4-6-25 YKビル1F,04-7160-4477,https://www.pfercos.co.jp/,月〜土曜日 9：00〜18：00,日曜日，祝日,JR「柏駅」東口より徒歩5分,
122173,0000000038,千葉県,柏市,ファーコス薬局柏わかば,柏市若葉町11-12　やまとマンション1F,04-7166-8915,https://www.pfercos.co.jp/,月・火・水・金・土曜日　9:00〜18:00,木曜日，日曜日，祝日,"JR常磐線「柏駅」東口より
東武バス：（柏20）又は（柏28）名戸ヶ谷行（千代田経由，常盤台経由どちらでも可）　10分　「緑ヶ丘」下車　徒歩1分",
122173,0000000039,千葉県,柏市,薬局タカサ　オアシス柏店,柏市千代田3-8-7ヴィヌス柏1Ｆ,04-7167-6351,https://www.takasa.co.jp/,月〜金曜日 9：00〜13：30,土曜日，日曜日，祝日,JR「柏駅」東口より徒歩20分,
122173,0000000040,千葉県,柏市,薬局マツモトキヨシ柏東口駅前店,柏市柏2-2-2浅野ビル1F,04-7167-7055,,"平日　9：30〜20：00
土・日曜日，祝日　10：00〜19：00",12/31〜1/3,JR「柏駅」東口より徒歩1分,
122173,0000000041,千葉県,柏市,薬局メディクス柏店,柏市柏3-3-19,04-7160-2323,https://www.jmsys.co.jp/,"月・火・金・土曜日 8：30〜13：30／15：00〜18：00
水曜日 8：30〜13：30／15：00〜19：30",木曜日，日曜日，祝日,JR「柏駅」より徒歩10分,
122173,0000000042,千葉県,柏市,ヤックスドラッグ北柏薬局,柏市柏下158,04-7197-5570,,月〜土曜日 9：00〜18：00,日曜日，祝日,JR「北柏駅」より徒歩15分,
122173,0000000043,千葉県,柏市,やまなみ薬局柏店,柏市柏下154,04-7168-8180,http://www.ipciron.com/,月〜土曜日 9：00〜18：00,日曜日，祝日,JR「北柏駅」南口より徒歩10分もしくは阪東バス「慈恵医大柏病院」下車　JR「柏駅」東口より徒歩20分もしくは阪東バス「慈恵医大柏病院」下車,
122173,0000000044,千葉県,柏市,よろづ屋薬局柏店,柏市東1-2-4　ワコーマンション1-A号,04-7167-2075,,"月・火・木・金曜日 9：00〜12：00／14：30〜18：00
土曜日 9：00〜12：00",水曜日，日曜日，祝日,JR「柏駅」より徒歩10分,
122173,0000000045,千葉県,柏市,スズラン薬局,柏市今谷上町45-23,04-7160-0010,,"月〜土曜日 9：00〜13：00／15：00〜19：00
日曜日 9：00〜13：00",祝日,JR「南柏駅」東口より徒歩4分,
122173,0000000046,千葉県,柏市,つくし薬局,柏市つくしが丘2-4-14,04-7172-5316,,"月〜金曜日 8：30〜19：30
土曜日 8：30〜19：00",日曜日，祝日,東武アーバンパークライン(野田線)「新柏駅」より徒歩8分,在宅訪問等により，営業時間が変更になることがあります。
122173,0000000047,千葉県,柏市,つくし薬局　光ヶ丘店,柏市光ヶ丘2-18-18,04-7170-5112,http://www.e-classa.net/tsukushi-hikari/,"月〜金曜日 9：00〜18：00
土曜日 9：00〜15：00",日曜日，祝日,JR「南柏駅」東口1番乗場より東武バス「聖光ヶ丘病院」下車徒歩3分,
122173,0000000048,千葉県,柏市,ハーブランド薬局南柏店,柏市南柏中央3-10,04-7160-0082,https://herbland.co.jp/,"月〜水・金曜日 9：00〜19：00
木・土曜日 9：00〜18：00",日曜日，祝日,JR「南柏駅」東口より徒歩3分,
122173,0000000049,千葉県,柏市,光ヶ丘薬局,柏市光ヶ丘2-3-10,04-7197-5088,https://www.takeichi-pharmacy.co.jp/,"平日 9：00〜18：00
土曜日 9：00〜15：00",日曜日，祝日,JR「南柏駅」東口1番乗場より東武バス「麗澤幼稚園・麗澤中高前」下車、すぐ。,
122173,0000000050,千葉県,柏市,フォレスト薬局,柏市光ケ丘団地4?200,04-7171-4901,http://edogawa-ph.ciao.jp/,"月〜金曜日　9:00?18:00
土曜日 9:00?14:30　",日曜日，祝日,南柏駅よりバスで10分　聖光ヶ丘病院前で下車　徒歩2分,
122173,0000000051,千葉県,柏市,みどり薬局,柏市豊住1-1-4,04-7171-1161,,"月・火・水・金曜日 9：00〜18：30 
土曜日 9：00〜16：30
※コロナのために時間短縮中
月・火・水・金曜日 9:00〜18:00
土曜日 9:00〜14:00　",木曜日，日曜日，祝日,"JR「南柏駅」東口より徒歩10分
東武アーバンパークライン（野田線）「新柏駅」より徒歩15分",
122173,0000000052,千葉県,柏市,友愛薬局　南柏店,柏市南柏中央6-1　三上ビル1Ｆ,04-7170-5505,http://www.yuai-medical.com/tenpo/minami-kashiwa/minami-kashiwa.html,"月・火・水・金曜日 8：30〜19：30
木曜日 9：00〜17：00
土曜日 8：30〜13：30",日曜日，祝日,JR「南柏駅」東口より徒歩1分,
122173,0000000053,千葉県,柏市,ウェルシア柏名戸ヶ谷薬局,柏市名戸ヶ谷857-2,04-7165-7776,,在宅可の時間　9：00〜18：00　（通常営業　9：00〜24：00）,日曜日，祝日（通常営業：休みなし）,東武アーバンパークライン(野田線)「新柏駅」徒歩20分,
122173,0000000054,千葉県,柏市,加賀調剤薬局,柏市加賀3-19-4,04-7175-3150,,"月・火・水・金曜日 9：00〜17：30 
木曜日 9：00〜13：00
土曜日 9：00〜13：00",日曜日，祝日,東武アーバンパークライン(野田線)「増尾駅」徒歩5分,
122173,0000000055,千葉県,柏市,こばと薬局,柏市南逆井4-10-2,04-7174-8936,,"月・火・水・金曜日 9：00〜13：00／15：30〜18：00
土曜日 9：00〜13：00",木曜日，土曜日午後，日曜日，祝日,新京成線「五香駅」より徒歩15分,
122173,0000000056,千葉県,柏市,なの花薬局柏店,柏市新柏1丁目13-9,04-7165-1252,,"月・水・木・金曜日 9:00〜19:00
火曜日 10:00〜18:00
土曜日 9:00〜14:00",日曜日，祝日,,火曜日10時〜18時開局しています。
122173,0000000057,千葉県,柏市,ライオン薬局,柏市逆井4-26-7,04-7172-3058,,"月〜金曜日 9：00〜18：30
土曜日 9：00〜17：00",日曜日，祝日,東武アーバンパークライン(野田線)「逆井駅」より徒歩5分,コロナ感染症対策として営業時間を短縮する日があります。
122173,0000000058,千葉県,柏市,よろづ屋薬局南増尾店,柏市南増尾4丁目5?1,04-7174-7200,,"月〜金曜日 9：00〜21：00
土曜日 9：00〜13：00 ",土曜日（午後），日曜日，祝日,,
122173,0000000059,千葉県,柏市,おおい薬局,柏市大井755-16,04-7192-2725,,月〜土曜日 9：30〜18：00,日曜日，祝日,JR「柏駅」東口より東武バス「大井」バス停より徒歩1分,
122173,0000000060,千葉県,柏市,シエロ薬局,柏市高柳1142-39,04-7190-0919,,"月・火・水・金曜日 9:30?18:00
木曜日 9:00〜17:00
土曜日 9:00?12:30",日曜日，祝日,東武アーバンパークライン「高柳駅」より5分,
122173,0000000061,千葉県,柏市,高柳薬局,柏市高柳1-1-1-101,04-7170-1409,https://www.takeichi-pharmacy.co.jp/,"月〜金曜日 9：00〜14：00／15：00〜18：00
土曜日 9：00〜12：00／15：00〜17：00",日曜日，祝日，年末年始,東武アーバンパークライン(野田線)「高柳駅」より徒歩1分,無菌調剤，中心静脈栄養，ＰＣＡポンプ可能
122173,0000000062,千葉県,柏市,ハーブランド薬局沼南店,柏市大津ヶ丘4-25-5,04-7160-6682,https://herbland.co.jp/,"月・火・木・金曜日 9：00〜19：00
水曜日 9：00〜17：00
土曜日 9：00〜18：00",日曜日，祝日,JR「柏駅」東口より阪東バス「大津ヶ丘4丁目」下車徒歩3分,
122173,0000000063,千葉県,柏市,ファーコス薬局柏みなみ,柏市高柳新田17-114,04-7190-2270,,"月・火・木・金曜日 9：00〜18：00
土曜日 9：00〜13：00",水曜日，日曜日，祝日,東武アーバンパークライン(野田線)「高柳駅」より徒歩15分，車6分,
