no,name,address,phone,area_flood,area_landslide,area_storm_surge,area_earthquake,area_tsunami,area_large_fire,area_inland_flooding,area_volcanic_activity,shelter_designation,community_area,shelter_total floor_area,shelter_capacity,shelter_capacity_2,site_effective,site_capacity,longitude,latitude
13,旧吉田家住宅歴史公園（芝生広場）,千葉県柏市花野井974番地1,,1,1,3,1,3,1,1,3,3,田中・柏の葉,,,,4500,2250,139.972687,35.89645
14,柏市立柏の葉小学校,千葉県柏市十余二348番地51中央404街区1,04-7134-3987,1,1,3,1,3,1,1,3,1,田中・柏の葉,1266,221,443,10100,5050,139.950012,35.885395
15,公益財団法人吉田記念テニス研修センター,千葉県柏市花野井93631,04-7134-3030,0,1,3,1,3,1,1,3,1,田中・柏の葉,3983,697,1394,20941,10470,139.974243,35.896736
16,柏市田中近隣センター,千葉県柏市大室249番地1,04-7133-1000,1,2,3,1,3,1,1,3,1,田中・柏の葉,1567,274,548,2600,1300,139.957458,35.904213
17,柏市北部近隣センター,千葉県柏市大青田1541番地2,04-7134-1070,1,1,3,1,3,1,1,3,1,田中・柏の葉,995,174,348,1836,918,139.941254,35.91367
18,柏寿荘,千葉県柏市船戸山高野535番地,04-7131-9511,1,1,3,1,3,1,1,3,1,田中・柏の葉,1159,202,405,6560,3280,139.947693,35.926941
19,柏市立柏の葉中学校,千葉県柏市十余二337番地93中央405街区1,04-7136-7820,1,1,3,1,3,1,1,3,1,田中・柏の葉,2350,411,822,11665,5832,139.950012,35.885395
20,柏たなか駅前公園,千葉県柏市大室一丁目4,,1,1,3,1,3,1,1,3,3,田中・柏の葉,,,,24661,12330,139.958679,35.909203
21,柏市立西原小学校,千葉県柏市西原四丁目17番1号,04-7152-3557,1,1,3,1,3,1,1,3,1,西原,730,127,255,9674,4837,139.92421,35.892658
22,柏市立西原中学校,千葉県柏市西原六丁目13番1号,04-7154-3232,1,1,3,1,3,1,1,3,1,西原,1220,213,427,11466,5733,139.923615,35.889454
23,流通経済大学付属柏高校,千葉県柏市十余二1番地20,04-7131-5611,1,1,3,1,3,1,1,3,1,西原,1100,192,385,7000,3500,139.928375,35.905907
24,柏市西原近隣センター,千葉県柏市西原三丁目2番48号,04-7154-2000,1,1,3,1,3,1,1,3,1,西原,1133,198,396,2528,1264,139.920166,35.896935
25,柏市立富勢西小学校,千葉県柏市布施84番地2,04-7132-2244,1,1,3,1,3,1,1,3,1,富勢,810,141,283,9851,4925,139.985229,35.892757
26,柏市立富勢東小学校,千葉県柏市布施2176番地2,04-7133-3741,0,1,3,1,3,1,1,3,1,富勢,756,132,264,9180,4590,140.006638,35.894089
27,柏市立富勢小学校,千葉県柏市布施925番地1,04-7133-2077,1,1,3,1,3,1,1,3,1,富勢,730,127,255,9666,4833,139.993164,35.8867
28,柏市立富勢中学校,千葉県柏市根戸467番地1,04-7131-2309,1,2,3,1,3,1,1,3,1,富勢,1146,200,401,15110,7555,139.985611,35.885223
29,千葉県立柏高等学校,千葉県柏市布施254番地,04-7131-0013,0,1,3,1,3,1,1,3,1,富勢,1416,247,495,25300,12650,139.988983,35.893639
30,富勢運動場,千葉県柏市根戸507番地,04-7131-7011,0,1,3,1,3,1,1,3,3,富勢,,,,48270,24135,139.994293,35.884277
31,あけぼの山公園,千葉県柏市布施1940番地,,0,1,3,1,3,1,1,3,3,富勢,,,,58466,29233,140.005127,35.896481
32,北柏第二公園,千葉県柏市北柏三丁目9番,,0,1,3,1,3,1,1,3,3,富勢,,,,6455,3227,139.988205,35.872341
33,布施第二公園,千葉県柏市布施新町二丁目4番,,0,1,3,1,3,1,1,3,3,富勢,,,,4508,2254,140.00322,35.889477
34,北柏第三公園,千葉県柏市北柏二丁目9番,,1,1,3,1,3,1,1,3,3,富勢,,,,2729,1364,139.990524,35.873585
35,北柏ふるさと公園,千葉県柏市呼塚新田270番地1,,0,1,3,1,3,1,1,3,3,富勢,,,,30000,15000,139.981735,35.875046
36,柏市布施近隣センター,千葉県柏市布施1196番地5,04-7132-3100,1,2,3,1,3,1,1,3,1,富勢,1272,222,445,2149,1074,139.997803,35.891907
37,柏市根戸近隣センター,千葉県柏市根戸467番地178,04-7131-6098,1,1,3,1,3,1,1,3,1,富勢,1412,247,494,4812,2406,139.985611,35.885223
38,柏市立松葉第一小学校,千葉県柏市松葉町五丁目3番地,04-7133-5602,1,1,3,1,3,1,1,3,1,松葉,827,144,289,11874,5937,139.966965,35.888451
39,柏市立松葉第二小学校,千葉県柏市松葉町二丁目16番地,04-7133-7500,1,1,3,1,3,1,1,3,1,松葉,898,157,314,12126,6063,139.975479,35.887688
40,柏市立松葉中学校,千葉県柏市松葉町三丁目14番地,04-7133-5601,1,1,3,1,3,1,1,3,1,松葉,1330,232,465,11734,5867,139.970139,35.886913
41,松葉第一近隣公園,千葉県柏市松葉町四丁目6番,,1,1,3,1,3,1,1,3,3,松葉,,,,25706,12853,139.971878,35.889336
42,松葉第二近隣公園,千葉県柏市松葉町四丁目13番,,1,1,3,1,3,1,1,3,3,松葉,,,,13994,6997,139.971802,35.889114
43,柏市松葉近隣センター,千葉県柏市松葉町四丁目11番,04-7133-2200,1,2,3,1,3,1,1,3,1,松葉,1577,275,551,1751,875,139.969635,35.889751
44,柏市立柏第四小学校,千葉県柏市松ヶ崎1182番地9,04-7143-2840,1,1,3,1,3,1,1,3,1,高田・松ヶ崎,1133,198,396,11440,5720,139.969482,35.874229
45,柏市立高田小学校,千葉県柏市高田376番地3,04-7143-2644,1,1,3,1,3,1,1,3,1,高田・松ヶ崎,750,131,262,17263,8631,139.954315,35.874821
46,柏市立柏第五中学校,千葉県柏市高田919番地1,04-7143-2645,0,1,3,1,3,1,1,3,1,高田・松ヶ崎,1214,212,424,17349,8674,139.965775,35.873646
47,千葉県立柏中央高等学校,千葉県柏市松ヶ崎884番地1,04-7133-3141,0,1,3,1,3,1,1,3,1,高田・松ヶ崎,3063,536,1072,26935,13467,139.973969,35.875572
48,松ヶ崎中央公園,千葉県柏市大山台1番,,1,1,3,1,3,1,1,3,3,高田・松ヶ崎,3,3,3,13050,6525,139.967804,35.880825
49,柏市高田近隣センター,千葉県柏市高田693番地2,04-7144-9292,1,2,3,1,3,1,1,3,1,高田・松ヶ崎,1246,218,436,2143,1071,139.958908,35.874348
50,柏市立柏第六小学校,千葉県柏市豊四季台四丁目2番1号,04-7145-7240,1,1,3,1,3,1,1,3,1,豊四季台,736,128,257,9860,4930,139.954559,35.862972
51,柏市立柏第七小学校,千葉県柏市篠籠田723番地1,04-7145-9338,1,1,3,1,3,1,1,3,1,豊四季台,794,139,277,10117,5058,139.956482,35.87104
52,柏市立柏中学校,千葉県柏市明原四丁目1番1号,04-7146-1167,1,1,3,1,3,1,1,3,1,豊四季台,1454,254,508,24822,12411,139.963821,35.864822
53,柏市立柏第三中学校,千葉県柏市篠籠田987番地1,04-7144-5686,1,1,3,1,3,1,1,3,1,豊四季台,1610,281,563,14078,7039,139.953125,35.86795
54,西口第一公園,千葉県柏市明原三丁目1番,,1,1,3,1,3,1,1,3,3,豊四季台,3,3,3,8478,4239,139.965042,35.865536
55,柏市豊四季台近隣センター,千葉県柏市豊四季台一丁目1番116号,04-7144-1000,1,1,3,1,3,1,1,3,1,豊四季台,2091,365,731,5190,2595,139.954956,35.868622
56,大堀川防災レクリエーション公園,千葉県柏市篠籠田119番地3,,0,1,3,1,3,1,1,3,3,豊四季台,,,,25520,12760,139.970566,35.871338
57,柏市立旭小学校,千葉県柏市旭町六丁目5番17号,04-7144-6400,1,1,3,1,3,1,1,3,1,旭町,718,125,251,11911,5955,139.955551,35.858341
58,柏市立旭東小学校,千葉県柏市旭町五丁目3番9号,04-7145-4445,1,1,3,1,3,1,1,3,1,旭町,828,144,289,4829,2414,139.961334,35.857258
59,千葉県立東葛飾高等学校,千葉県柏市旭町三丁目2番1号,04-7143-4271,1,1,3,1,3,1,1,3,1,旭町,1685,294,589,22396,11198,139.964478,35.861408
60,気象大学校,千葉県柏市旭町7丁目4番81号,04-7144-7185,1,1,3,1,3,1,1,3,1,旭町,634,110,221,14000,7000,139.959854,35.858871
61,柏市旭町近隣センター,千葉県柏市旭町五丁目3番32号,04-7144-8900,1,1,3,1,3,1,1,3,1,旭町,1355,237,474,2428,1214,139.961563,35.855431
62,豊四季庚塚緑地,千葉県柏市豊四季224番地3,,1,1,3,1,3,1,1,3,3,豊四季台・新富,,,,6787,3393,139.947906,35.864456
63,柏市立柏第二小学校,千葉県柏市豊四季310番地,04-7144-3141,1,1,3,1,3,1,1,3,1,新富,740,129,259,5830,2915,139.949646,35.859272
64,柏市立豊四季中学校,千葉県柏市豊四季287番地7,04-7146-4766,1,1,3,1,3,1,1,3,1,新富,1503,263,526,10973,5486,139.949448,35.862289
65,柏市新富近隣センター,千葉県柏市豊四季945番地1,04-7145-1945,1,2,3,1,3,1,1,3,1,新富,1147,200,401,2072,1036,139.934799,35.853107
66,柏市立柏第一小学校,千葉県柏市あけぼの一丁目7番6号,04-7143-0138,1,1,3,1,3,1,1,3,1,柏中央,732,128,256,6103,3051,139.97229,35.865124
67,柏市立柏第五小学校,千葉県柏市柏932番地7,04-7164-1585,1,1,3,1,3,1,1,3,1,柏中央,748,130,261,5664,2832,139.983612,35.862522
68,日本体育大学柏高等学校,千葉県柏市戸張944番地,04-7167-1301,1,1,3,1,3,1,1,3,1,柏中央,2793,488,977,26457,13228,139.992188,35.856544
69,柏公園,千葉県柏市柏565番地,,1,1,3,1,3,1,1,3,3,柏中央,,,,22415,11207,139.982803,35.867664
70,柏ふるさと公園,千葉県柏市柏下4番地,,0,1,3,1,3,1,1,3,3,柏中央,,,,30000,15000,139.989365,35.866322
71,戸張地区公園,千葉県柏市戸張994番地2,,1,1,3,1,3,1,1,3,3,柏中央,,,,8800,4400,139.992188,35.856544
72,北千葉導水ビジターセンター,千葉県柏市戸張新田26番地,04-7163-4751,0,1,3,1,3,1,1,3,3,柏中央,,,,16620,8310,140.003418,35.860691
73,アミュゼ柏,千葉県柏市柏六丁目2番22号,04-7164-4552,1,2,3,1,3,1,1,3,1,柏中央,5569,974,1949,2014,1007,139.975662,35.863087
74,柏市中央公民館,千葉県柏市柏五丁目8番12号,04-7164-1811,1,1,3,1,3,1,1,3,1,柏中央,5930,1037,2075,4927,2463,139.977814,35.866379
75,柏市民文化会館,千葉県柏市柏下107番地,04-7164-9141,0,1,3,1,3,1,1,3,1,柏中央,5734,1003,2006,13927,6963,139.984085,35.86729
76,柏市中央体育館,千葉県柏市柏下73番地,04-7164-9573,0,1,3,1,3,1,1,3,1,柏中央,6320,1106,2212,15365,7682,139.985596,35.867905
77,柏市立柏第三小学校,千葉県柏市若葉町4番54号,04-7167-3161,1,1,3,1,3,1,1,3,1,富里,933,163,326,19561,9780,139.971817,35.854748
78,柏市立豊小学校,千葉県柏市豊四季610番地2,04-7174-0755,1,1,3,1,3,1,1,3,1,富里,801,140,280,7966,3983,139.962311,35.844315
79,柏市富里近隣センター,千葉県柏市富里二丁目4番4号,04-7173-9531,1,1,3,1,3,1,1,3,1,富里,596,104,208,1622,811,139.964722,35.852779
80,柏市立柏第八小学校,千葉県柏市永楽台二丁目8番1号,04-7164-1207,1,1,3,1,3,1,1,3,1,永楽台,776,135,271,8247,4123,139.972198,35.844353
81,永楽台近隣公園,千葉県柏市永楽台二丁目11番,,1,1,3,1,3,1,1,3,3,永楽台,,,,10017,5008,139.971024,35.842525
82,日立台公園,千葉県柏市日立台1丁目2番,,1,1,3,1,3,1,1,3,3,永楽台,3,3,3,8000,4000,139.975006,35.848923
83,柏市永楽台近隣センター,千葉県柏市永楽台二丁目11番25号,04-7163-1201,1,1,3,1,3,1,1,3,1,永楽台,850,148,297,944,472,139.971771,35.84301
84,柏市立柏第四中学校,千葉県柏市名戸ヶ谷一丁目6番8号,04-7163-6401,1,1,3,1,3,1,1,3,1,永楽台,1149,201,402,14724,7362,139.977722,35.845238
85,柏市立柏第二中学校,千葉県柏市弥生町6番6号,04-7164-5770,1,1,3,1,3,1,1,3,1,新田原,1283,224,449,15613,7806,139.985184,35.856403
86,関場町ゲートボール場,千葉県柏市関場町842番地2,,1,1,3,1,3,1,1,3,3,新田原,,,,2083,1041,139.983734,35.850071
87,柏市新田原近隣センター,千葉県柏市東柏二丁目2番15号,04-7167-1276,1,2,3,1,3,1,1,3,1,新田原,1143,200,400,1854,927,139.985703,35.84967
88,柏市立名戸ヶ谷小学校,千葉県柏市名戸ヶ谷474番地1,04-7163-0540,0,1,3,1,3,1,1,3,1,増尾,751,131,262,13489,6744,139.984238,35.847939
89,柏市立土小学校,千葉県柏市増尾四丁目4番1号,04-7172-4805,1,1,3,1,3,1,1,3,1,増尾,716,125,250,5397,2698,139.982056,35.834343
90,柏市立中原小学校,千葉県柏市中原1821番地1,04-7164-4335,1,1,3,1,3,1,1,3,1,増尾,740,129,259,10065,5032,139.971283,35.835449
91,柏市立増尾西小学校,千葉県柏市増尾台三丁目5番9号,04-7174-8530,1,1,3,1,3,1,1,3,1,増尾,772,135,270,7198,3599,139.974609,35.825684
92,柏市立土中学校,千葉県柏市増尾一丁目23番1号,04-7172-4809,1,1,3,1,3,1,1,3,1,増尾,820,143,287,8134,4067,139.975296,35.833843
93,柏市立中原中学校,千葉県柏市中原1816番地2,04-7166-5601,1,1,3,1,3,1,1,3,1,増尾,1187,207,415,13188,6594,139.971619,35.837963
94,千葉県立柏南高等学校,千葉県柏市増尾1705番地,04-7173-2101,1,1,3,1,3,1,1,3,1,増尾,2644,462,925,24442,12221,139.977997,35.837578
95,芝浦工業大学柏中学高校,千葉県柏市増尾700番地,04-7174-3100,0,1,3,1,3,1,1,3,3,増尾,,,,18683,9341,139.985779,35.841076
96,名戸ヶ谷第五公園,千葉県柏市新柏三丁目2番,,1,1,3,1,3,1,1,3,3,増尾,3,3,3,3000,1500,139.971344,35.842175
97,柏市増尾近隣センター,千葉県柏市増尾三丁目1番1号,04-7174-7211,1,1,3,1,3,1,1,3,1,増尾,1574,275,550,3287,1643,139.979355,35.834373
98,柏市立光ヶ丘小学校,千葉県流山市向小金四丁目20番1号,04-7173-7130,1,1,3,1,3,1,1,3,1,光ヶ丘,798,139,279,7066,3533,139.955673,35.835812
99,柏市立光ヶ丘中学校,千葉県柏市光ヶ丘四丁目23番1号,04-7172-3648,1,1,3,1,3,1,1,3,1,光ヶ丘,1511,264,528,12738,6369,139.965225,35.828957
100,麗澤大学,千葉県柏市光ヶ丘2丁目1番1号,04-7173-3111,1,1,3,1,3,1,1,3,1,光ヶ丘,2452,429,858,16589,8294,139.951187,35.831802
101,柏市光ヶ丘近隣センター,千葉県柏市光ヶ丘団地200番地5,04-7175-0033,1,2,3,1,3,1,1,3,1,光ヶ丘,1461,255,511,2369,1184,139.957809,35.829479
102,柏市立藤心小学校,千葉県柏市藤心880番地1,04-7173-7941,1,1,3,1,3,1,1,3,1,藤心,740,129,259,10218,5109,139.9935,35.820839
103,柏市藤心近隣センター,千葉県柏市藤心四丁目1番11号,04-7176-3700,1,2,3,1,3,1,1,3,1,藤心,996,174,348,2013,1006,139.988846,35.823086
104,南部老人福祉センターかたくりの里,千葉県柏市藤心293番地1,04-7176-6151,1,1,3,1,3,1,1,3,1,藤心,1546,270,541,1589,794,139.9953,35.824665
105,柏市立酒井根小学校,千葉県柏市酒井根19番地2,04-7172-1108,1,1,3,1,3,1,1,3,1,酒井根,808,141,282,11762,5881,139.962555,35.819416
106,柏市立酒井根西小学校,千葉県柏市酒井根662番地1,04-7174-4192,1,1,3,1,3,1,1,3,1,酒井根,759,132,265,7424,3712,139.954681,35.818558
107,柏市立酒井根東小学校,千葉県柏市酒井根一丁目2番1号,04-7175-0336,1,1,3,1,3,1,1,3,1,酒井根,827,144,289,8103,4051,139.963959,35.825199
108,柏市立酒井根中学校,千葉県柏市酒井根一丁目3番1号,04-7174-8520,1,1,3,1,3,1,1,3,1,酒井根,1286,224,450,14461,7230,139.965363,35.824265
109,酒井根下田の森緑地,千葉県柏市酒井根六丁目24番,,1,1,3,1,3,1,1,3,3,酒井根,,,,16530,8265,139.957336,35.823593
110,柏市酒井根近隣センター,千葉県柏市酒井根653番地4,04-7175-2400,1,1,3,1,3,1,1,3,1,酒井根,1146,200,401,2000,1000,139.958008,35.818737
111,柏市立逆井中学校,千葉県柏市逆井555番地,04-7175-0335,1,1,3,1,3,1,1,3,1,藤心・南部,1304,228,456,12796,6398,139.984497,35.817226
112,柏市立南部中学校,千葉県柏市南増尾六丁目16番1号,04-7173-7943,1,1,3,1,3,1,1,3,1,南部,1159,202,405,13192,6596,139.963913,35.809109
113,千葉県立柏陵高等学校,千葉県柏市逆井444番地1,04-7174-8551,1,1,3,1,3,1,1,3,1,南部,2797,489,978,21703,10851,139.980408,35.810619
114,南部公園,千葉県柏市新逆井二丁目5番,,1,1,3,1,3,1,1,3,3,南部,,,,30090,15045,139.972351,35.809532
115,並木第二公園,千葉県柏市南逆井二丁目2番,,1,1,3,1,3,1,1,3,3,南部,,,,3962,1981,139.968292,35.805595
116,柏リフレッシュ公園リフレッシュプラザ柏,千葉県柏市南増尾58番地3,04-7173-5900,1,1,3,1,3,1,1,3,1,南部,7910,1384,2768,41355,20677,139.97319,35.817333
117,柏市南部近隣センター,千葉県柏市新逆井二丁目5番13号,04-7173-1000,1,2,3,1,3,1,1,3,1,南部,2297,401,803,4074,2037,139.972351,35.809532
118,柏市立逆井小学校,千葉県柏市逆井452番地2,04-7174-8540,1,1,3,1,3,1,1,3,1,南部,762,133,266,10369,5184,139.980408,35.810619
119,柏市立土南部小学校,千葉県柏市新逆井1丁目10番1号,04-7172-4709,1,1,3,1,3,1,1,3,1,南部,754,131,263,7240,3620,139.974503,35.811893
120,柏市沼南近隣センター,千葉県柏市大島田440番地1,04-7192-1111,1,2,3,1,3,1,1,3,1,風早北部,3775,660,1321,6023,3011,140.006805,35.839256
121,沼南老人福祉センターいこい荘,千葉県柏市塚崎1356番地,04-7192-1401,1,1,3,1,3,1,1,3,1,風早北部,748,130,261,6490,3245,140.008224,35.830444
122,柏市立風早北部小学校,千葉県柏市大井1854番地1,04-7191-3796,1,1,3,1,3,1,1,3,1,風早北部,602,105,210,5139,2569,140.007996,35.844021
123,柏市立大津ヶ丘第一小学校,千葉県柏市大津ヶ丘三丁目50番地,04-7192-1110,1,1,3,1,3,1,1,3,1,風早北部,687,120,240,10733,5366,139.996048,35.839436
124,柏市立大津ヶ丘第二小学校,千葉県柏市大津ヶ丘四丁目8番地,04-7192-1120,1,1,3,1,3,1,1,3,1,風早北部,687,120,240,11114,5557,140.002991,35.835941
125,柏市立風早中学校,千葉県柏市塚崎1319番地,04-7191-2290,1,1,3,1,3,1,1,3,1,風早北部,1564,273,547,11190,5595,140.004532,35.831009
126,柏市立大津ヶ丘中学校,千葉県柏市大津ヶ丘一丁目25番地,04-7192-1130,1,1,3,1,3,1,1,3,1,風早北部,1482,259,518,16495,8247,140.00325,35.844173
127,大津ヶ丘中央公園,千葉県柏市大津ヶ丘2丁目1番,,1,1,3,1,3,1,1,3,3,風早北部,,,,33000,16500,140.001816,35.840523
128,風早公園,千葉県柏市風早2丁目1番,,1,1,3,1,3,1,1,3,3,風早北部,,,,14321,7160,140.009491,35.827393
129,二松学舎大学,千葉県柏市大井2590番地,04-7191-8751,1,1,3,1,3,1,1,3,1,風早北部,4791.34,838,1676,19396,9698,140.011017,35.853226
130,柏市高柳近隣センター,千葉県柏市高柳1652番地10,04-7193-1110,1,2,3,1,3,1,1,3,1,風早南部,1079,188,377,2789,1394,139.998474,35.811062
131,柏市立風早南部小学校,千葉県柏市藤ヶ谷新田111番地2,04-7191-0440,1,1,3,1,3,1,1,3,1,風早南部,1305,228,456,9800,4900,140.017776,35.816742
132,柏市立高柳小学校,千葉県柏市高南台三丁目14番地12,04-7191-3499,1,1,3,1,3,1,1,3,1,風早南部,844,147,295,7310,3655,139.994446,35.806725
133,柏市立高柳西小学校,千葉県柏市しいの木台三丁目2番地,04-7384-5717,1,1,3,1,3,1,1,3,1,風早南部,811,141,283,11427,5713,139.982208,35.802841
134,柏市立高柳中学校,千葉県柏市高南台一丁目1番地1,04-7191-4580,1,1,3,1,3,1,1,3,1,風早南部,1453,254,508,13414,6707,139.995956,35.805668
135,千葉県立沼南高柳高等学校,千葉県柏市高柳995番地,04-7191-5281,1,2,3,1,3,1,1,3,1,風早南部,2627,459,919,17764,8882,140.006485,35.804337
136,しいの木公園,千葉県柏市しいの木台二丁目11番地1,,1,1,3,1,3,1,1,3,3,風早南部,,,,12306,6153,139.98381,35.804302
137,海上自衛隊下総航空基地,千葉県柏市藤ヶ谷1614番地1,04-7191-2321,1,1,3,1,3,1,1,3,3,風早南部,,,,13541,6770,140.024506,35.801277
138,藤ヶ谷区民館,千葉県柏市藤ヶ谷558番地,,1,1,3,1,3,1,1,3,1,風早南部,263,46,92,1651,825,140.023682,35.809334
139,柏市立手賀東小学校,千葉県柏市手賀479番地7,04-7191-9014,1,2,3,1,3,1,1,3,1,手賀,737,128,257,7407,3703,140.077484,35.836891
140,柏市立手賀西小学校,千葉県柏市泉541番地,04-7191-1606,1,1,3,1,3,1,1,3,1,手賀,422,73,147,4652,2326,140.044327,35.841446
141,柏市立手賀中学校,千葉県柏市柳戸690番地,04-7191-1604,1,1,3,1,3,1,1,3,1,手賀,1474,257,515,10373,5186,140.050888,35.836735
142,千葉県立沼南高等学校,千葉県柏市岩井678番地3,04-7191-8121,1,1,3,1,3,1,1,3,1,手賀,2479,433,867,22778,11389,140.032928,35.845779
143,柏市手賀近隣センター,千葉県柏市柳戸511番11,04-7191-8022,1,2,3,1,3,1,1,3,1,手賀,667,116,233,2967,1483,140.057297,35.83688
